gene	tpm
ENSG00000061938	11.302
ENSG00000061987	27.432
ENSG00000062038	201.174
ENSG00000062096	0.679
ENSG00000062194	136.282
ENSG00000062282	52.869
ENSG00000062370	2.757
ENSG00000062485	90.422
ENSG00000062524	0.367
ENSG00000062582	145.127
ENSG00000062598	27.085
ENSG00000062650	22.663
ENSG00000062716	194.407
ENSG00000062725	25.366
ENSG00000062822	30.612
ENSG00000063015	2.184
ENSG00000063046	122.139
ENSG00000063127	1.003
ENSG00000063169	3.336
ENSG00000063176	15.391
ENSG00000063177	1095.7
ENSG00000063180	19.057
ENSG00000063241	34.874
ENSG00000063244	94.918
ENSG00000063245	33.888
ENSG00000063322	39.582
ENSG00000063438	1.501
ENSG00000063515	0.098
ENSG00000063587	4.559
ENSG00000063601	37.257
ENSG00000063660	77.542
ENSG00000063761	14.623
ENSG00000063854	98.102
ENSG00000063978	41.246
ENSG00000064012	16.855
ENSG00000064042	41.658
ENSG00000064102	15.137
ENSG00000064115	217.889
ENSG00000064195	7.296
ENSG00000064199	6.372
ENSG00000064201	1.21
ENSG00000064205	0.929
ENSG00000064218	0.321
ENSG00000064225	8.374
ENSG00000064270	2.619
ENSG00000064300	24.559
ENSG00000064309	13.183
ENSG00000064313	25.953
ENSG00000064393	6.821
ENSG00000064419	28.358
ENSG00000064490	77.1
ENSG00000064545	16.583
ENSG00000064547	14.128
ENSG00000064601	134.08
ENSG00000064607	39.374
ENSG00000064651	10.184
ENSG00000064652	12.665
ENSG00000064655	44.753
ENSG00000064666	90.401
ENSG00000064687	17.425
ENSG00000064692	45.62
ENSG00000064703	12.141
ENSG00000064726	41.553
ENSG00000064763	4.249
ENSG00000064787	8.646
ENSG00000064835	0.489
ENSG00000064886	195.267
ENSG00000064932	8.531
ENSG00000064933	13.109
ENSG00000064961	136.359
ENSG00000064989	11.631
ENSG00000064995	34.026
ENSG00000064999	19.943
ENSG00000065000	65.15
ENSG00000065029	34.66
ENSG00000065054	68.617
ENSG00000065057	381.126
ENSG00000065060	4.988
ENSG00000065135	20.598
ENSG00000065150	54.56
ENSG00000065154	65.145
ENSG00000065183	20.015
ENSG00000065243	29.546
ENSG00000065268	48.08
ENSG00000065308	6.414
ENSG00000065320	7.993
ENSG00000065325	0.363
ENSG00000065328	3.12
ENSG00000065357	78.485
ENSG00000065361	14.551
ENSG00000065371	3.963
ENSG00000065413	9.266
ENSG00000065427	122.647
ENSG00000065457	13.523
ENSG00000065485	20.969
ENSG00000065491	11.115
ENSG00000065518	295.532
ENSG00000065526	31.587
ENSG00000065534	14.647
ENSG00000065548	95.422
ENSG00000065559	28.802
ENSG00000065600	10.698
ENSG00000065609	8.84
ENSG00000065613	22.63
ENSG00000065615	22.448
ENSG00000065618	156.173
ENSG00000065621	29.035
ENSG00000065665	14.324
ENSG00000065675	5.152
ENSG00000065717	20.083
ENSG00000065802	11.56
ENSG00000065809	50.932
ENSG00000065833	12.944
ENSG00000065882	37.687
ENSG00000065883	30.751
ENSG00000065911	34.32
ENSG00000065923	22.934
ENSG00000065970	14.183
ENSG00000065978	192.928
ENSG00000065989	3.78
ENSG00000066027	19.265
ENSG00000066032	0.833
ENSG00000066044	63.87
ENSG00000066056	7.228
ENSG00000066084	14.352
ENSG00000066117	38.381
ENSG00000066135	24.259
ENSG00000066136	63.422
ENSG00000066185	6.239
ENSG00000066230	6.973
ENSG00000066248	1.281
ENSG00000066279	4.717
ENSG00000066294	3.982
ENSG00000066322	67.998
ENSG00000066336	6.69
ENSG00000066379	47.903
ENSG00000066382	3.454
ENSG00000066405	4.463
ENSG00000066422	16.094
ENSG00000066427	26.515
ENSG00000066455	26.936
ENSG00000066468	59.217
ENSG00000066557	10.566
ENSG00000066583	69.049
ENSG00000066629	7.156
ENSG00000066651	21.279
ENSG00000066654	24.676
ENSG00000066697	20.839
ENSG00000066735	1.005
ENSG00000066739	11.585
ENSG00000066777	21.231
ENSG00000066813	0.531
ENSG00000066827	4.779
ENSG00000066855	14.755
ENSG00000066923	15.519
ENSG00000066926	16.176
ENSG00000066933	10.184
ENSG00000067048	51.975
ENSG00000067057	88.761
ENSG00000067064	101.724
ENSG00000067066	139.031
ENSG00000067082	679.428
ENSG00000067113	28.503
ENSG00000067141	21.667
ENSG00000067167	87.713
ENSG00000067177	11.846
ENSG00000067182	79.847
ENSG00000067191	13.591
ENSG00000067208	6.732
ENSG00000067221	24.34
ENSG00000067225	1172.557
ENSG00000067248	38.406
ENSG00000067334	62.78
ENSG00000067365	20
ENSG00000067369	29.96
ENSG00000067445	23.676
ENSG00000067533	14.148
ENSG00000067560	471.306
ENSG00000067596	28.679
ENSG00000067606	20.459
ENSG00000067646	4.275
ENSG00000067704	41.445
ENSG00000067715	11.361
ENSG00000067798	10.993
ENSG00000067829	73.136
ENSG00000067836	41.229
ENSG00000067840	3.261
ENSG00000067842	0.249
ENSG00000067900	24.556
ENSG00000067955	33.97
ENSG00000067992	11.091
ENSG00000068001	39.027
ENSG00000068024	15.623
ENSG00000068028	33.68
ENSG00000068078	43.85
ENSG00000068079	75.703
ENSG00000068097	10.944
ENSG00000068120	49.336
ENSG00000068137	27.994
ENSG00000068305	23.411
ENSG00000068308	51.878
ENSG00000068323	40.658
ENSG00000068354	10.027
ENSG00000068366	19.959
ENSG00000068383	13.242
ENSG00000068394	27.178
ENSG00000068400	41.124
ENSG00000068438	23.115
ENSG00000068489	3.653
ENSG00000068615	3.88
ENSG00000068650	36.351
ENSG00000068654	5.673
ENSG00000068697	421.842
ENSG00000068724	17.68
ENSG00000068745	132.083
ENSG00000068784	9.13
ENSG00000068796	50.739
ENSG00000068831	6.008
ENSG00000068878	24.165
ENSG00000068885	22.057
ENSG00000068903	47.455
ENSG00000068912	42.781
ENSG00000068971	18.27
ENSG00000068976	2.574
ENSG00000068985	0.195
ENSG00000069011	3.693
ENSG00000069018	0.322
ENSG00000069020	54.968
ENSG00000069122	5.787
ENSG00000069188	5.198
ENSG00000069206	0.495
ENSG00000069248	17.082
ENSG00000069275	51.042
ENSG00000069329	89.258
ENSG00000069345	76.351
ENSG00000069399	179.733
ENSG00000069424	9.918
ENSG00000069431	1.273
ENSG00000069482	87.597
ENSG00000069493	26.798
ENSG00000069509	27.926
ENSG00000069535	9.51
ENSG00000069667	28.432
ENSG00000069696	0.052
ENSG00000069702	17.227
ENSG00000069764	1.701
